id_estudiante,carrera,semestre,promedio,asistencia,participacion,asignaturas_desaprobadas,acceso_virtual,socioeconomico
61,Educación,6,12.94,70.1,media,0,7,medio
62,Educación,8,11.08,54.85,alta,2,7,alto
63,Ingeniería,3,13.06,79.22,alta,3,7,bajo
64,Ingeniería,9,9.66,66.48,baja,0,7,medio
65,Educación,9,7.31,97.34,media,5,4,bajo
66,Administración,2,13.79,75.14,alta,4,1,bajo
67,Contabilidad,8,11.13,73.61,media,0,1,medio
68,Ingeniería,10,9.56,65.46,baja,5,1,alto
69,Contabilidad,5,9.87,66.94,media,5,4,bajo
70,Administración,4,15.79,75.64,media,4,7,alto
71,Administración,10,13.16,65.33,media,3,7,bajo
72,Administración,5,8.19,94.62,media,2,3,medio
73,Ingeniería,4,9.03,71.95,alta,2,5,alto
74,Administración,8,11.27,64.6,baja,1,3,alto
75,Ingeniería,4,13.19,57.77,alta,3,2,bajo
76,Administración,10,10.01,83.62,alta,0,0,alto
77,Contabilidad,6,11.57,51.29,alta,2,7,medio
78,Contabilidad,2,12.29,72.5,alta,5,7,alto
79,Educación,5,12.34,77.51,baja,4,3,alto
80,Contabilidad,6,6.01,66.99,baja,5,6,bajo
81,Educación,5,12.55,87.49,alta,4,7,alto
82,Contabilidad,2,7.67,83.78,media,0,5,alto
83,Ingeniería,7,11.28,98.57,media,0,7,medio
84,Contabilidad,4,10.75,75.44,media,3,5,alto
85,Educación,8,9.3,76.89,media,0,1,medio
86,Educación,7,14.11,62.29,media,0,7,alto
87,Administración,7,9.19,69.27,baja,0,2,alto
88,Ingeniería,9,10.69,51.34,media,2,5,medio
89,Contabilidad,1,14.2,84.46,baja,3,3,alto
90,Administración,10,10.62,65.58,media,0,3,alto
91,Contabilidad,6,10.1,77.02,media,0,6,bajo
92,Contabilidad,6,11.33,62.75,alta,5,7,bajo
93,Administración,6,13.35,81.05,alta,5,0,alto
94,Administración,6,15.62,72.38,alta,4,0,medio
95,Administración,10,9.66,74.09,baja,2,0,bajo
96,Administración,7,9.86,97.13,baja,0,3,alto
97,Administración,10,11.31,85.31,alta,2,5,bajo
98,Contabilidad,6,12.58,63.09,alta,3,6,alto
99,Administración,1,10.07,75.2,media,3,3,medio
100,Ingeniería,3,13.72,73.33,baja,5,1,bajo
101,Educación,2,9.71,89.75,media,1,7,bajo
102,Administración,6,7.25,91.67,media,4,4,alto
103,Administración,8,13.33,64.17,alta,1,0,medio
104,Contabilidad,3,13.62,91.06,media,2,1,medio
105,Administración,10,14.61,58.98,media,4,1,medio
106,Administración,8,7.02,88.14,alta,5,5,alto
107,Administración,8,10.34,62.44,alta,0,2,medio
108,Contabilidad,5,11.37,64.9,media,5,1,medio
109,Administración,8,16.39,92.62,media,5,0,alto
110,Educación,6,11.6,71.0,media,4,4,medio
111,Contabilidad,5,8.63,99.53,baja,4,6,medio
112,Educación,9,12.74,57.6,media,3,7,bajo
113,Contabilidad,7,15.27,73.17,alta,1,1,medio
114,Administración,8,14.74,86.62,media,3,6,bajo
115,Educación,1,13.4,50.27,baja,3,3,bajo
116,Contabilidad,2,12.66,57.59,media,1,3,bajo
117,Ingeniería,8,6.33,51.02,baja,3,1,bajo
118,Administración,9,12.06,99.64,baja,4,0,medio
119,Contabilidad,4,12.45,88.03,alta,2,5,bajo
120,Ingeniería,10,11.6,68.68,media,0,5,bajo
121,Contabilidad,10,13.77,57.81,baja,0,4,bajo
122,Ingeniería,9,11.56,54.52,media,3,4,medio
123,Administración,4,11.08,76.6,baja,1,0,alto
124,Educación,10,14.6,98.79,alta,4,3,bajo
125,Ingeniería,10,10.97,83.73,alta,3,3,bajo
126,Contabilidad,10,12.16,68.26,media,4,5,alto
127,Administración,9,14.24,75.04,media,4,6,medio
128,Ingeniería,7,9.47,99.95,media,5,5,bajo
129,Contabilidad,2,9.2,75.94,media,0,2,medio
130,Contabilidad,9,15.39,98.21,media,2,1,bajo
131,Contabilidad,4,10.52,50.82,baja,2,5,medio
132,Ingeniería,8,13.73,86.05,media,1,1,medio
133,Ingeniería,7,7.56,81.36,baja,2,7,bajo
134,Ingeniería,7,5.74,84.27,baja,3,5,bajo
135,Educación,8,12.91,78.53,baja,0,6,medio
136,Ingeniería,1,11.68,52.21,media,0,3,bajo
137,Ingeniería,5,12.93,57.48,alta,4,1,alto
138,Ingeniería,2,16.69,96.11,alta,3,0,medio
139,Educación,2,8.91,61.65,media,3,7,alto
140,Ingeniería,1,12.1,99.65,media,4,4,bajo
141,Contabilidad,5,15.69,83.98,media,5,5,alto
142,Ingeniería,2,9.27,72.22,baja,5,2,alto
143,Contabilidad,4,10.54,96.0,alta,4,0,medio
144,Contabilidad,3,7.58,89.75,alta,0,0,alto
145,Contabilidad,3,17.59,71.45,alta,3,7,bajo
146,Educación,2,6.49,53.43,alta,2,0,medio
147,Educación,6,14.0,93.42,baja,2,1,bajo
148,Educación,2,8.7,88.25,media,0,7,bajo
149,Ingeniería,8,9.37,89.54,baja,2,4,alto
150,Contabilidad,8,14.66,87.24,media,2,6,bajo
151,Educación,5,10.14,63.79,media,3,7,alto
152,Educación,10,13.63,92.94,alta,3,6,medio
153,Ingeniería,7,15.45,50.11,alta,1,2,medio
154,Educación,4,12.5,61.86,media,3,3,alto
155,Ingeniería,1,14.22,52.33,media,1,0,medio
156,Administración,2,12.2,55.53,alta,5,0,medio
157,Educación,10,12.32,76.62,alta,3,6,medio
158,Administración,10,10.41,51.86,alta,4,0,medio
159,Ingeniería,4,16.82,59.07,alta,3,3,alto
160,Contabilidad,1,13.86,61.64,alta,1,6,alto
161,Educación,8,13.3,82.77,baja,2,5,bajo
162,Ingeniería,9,13.93,73.44,baja,3,1,bajo
163,Contabilidad,4,10.31,72.92,baja,2,1,medio
164,Contabilidad,10,14.33,88.42,alta,2,4,alto
165,Administración,3,15.89,72.84,media,3,1,alto
166,Ingeniería,2,8.55,67.42,media,3,1,alto
167,Contabilidad,5,13.35,98.12,alta,4,2,bajo
168,Educación,3,12.16,50.41,baja,5,7,medio
169,Educación,10,10.7,65.27,media,1,2,alto
170,Administración,7,9.27,80.47,alta,3,6,bajo
171,Contabilidad,6,14.63,89.14,baja,2,1,alto
172,Ingeniería,1,12.52,90.82,baja,2,2,alto
173,Educación,8,11.48,52.3,baja,3,5,bajo
174,Contabilidad,2,13.36,85.46,baja,1,4,bajo
175,Contabilidad,5,11.68,86.01,baja,5,1,alto
176,Administración,9,10.24,60.7,baja,2,7,medio
177,Educación,8,12.32,55.64,baja,5,2,medio
178,Educación,2,11.93,87.48,baja,5,3,bajo
179,Ingeniería,9,7.56,62.48,baja,4,7,alto
180,Educación,5,10.43,50.08,baja,2,2,bajo
181,Ingeniería,10,8.84,61.18,alta,1,2,alto
182,Educación,6,7.87,51.55,media,0,6,alto
183,Administración,3,13.17,62.46,alta,4,3,alto
184,Educación,3,10.33,66.75,media,4,4,bajo
185,Ingeniería,10,14.6,63.57,alta,0,3,bajo
186,Ingeniería,8,7.43,96.0,media,4,4,bajo
187,Administración,10,11.26,61.63,media,4,5,bajo
188,Educación,10,10.46,73.38,media,4,6,medio
189,Educación,2,8.06,97.87,alta,2,3,alto
190,Administración,2,12.01,93.96,media,2,4,bajo
191,Educación,5,8.27,65.46,baja,3,4,alto
192,Educación,6,12.56,66.32,media,3,0,medio
193,Ingeniería,2,13.8,79.67,alta,2,6,bajo
194,Educación,5,12.67,95.89,alta,4,0,medio
195,Educación,7,12.98,50.5,baja,1,2,bajo
196,Administración,10,14.58,69.66,media,0,3,alto
197,Administración,10,11.93,92.49,alta,3,4,medio
198,Contabilidad,8,9.93,70.52,media,4,0,medio
199,Ingeniería,7,10.48,86.0,baja,3,2,bajo
200,Educación,8,10.53,84.6,baja,5,2,alto
201,Educación,9,9.39,60.27,alta,1,7,alto
202,Contabilidad,5,13.96,72.48,media,5,2,alto
203,Educación,5,13.32,78.31,baja,4,7,alto
204,Ingeniería,10,7.84,85.77,baja,2,7,bajo
205,Contabilidad,4,9.93,91.12,alta,1,0,medio
206,Ingeniería,9,9.27,88.0,baja,3,5,bajo
207,Contabilidad,5,12.79,51.42,alta,4,1,alto
208,Contabilidad,2,14.69,83.53,baja,5,6,medio
209,Administración,10,13.12,74.87,baja,4,6,medio
210,Ingeniería,8,10.25,78.69,alta,0,5,alto
211,Educación,7,11.2,68.65,alta,0,7,bajo
212,Educación,8,8.52,85.7,media,5,5,bajo
213,Ingeniería,3,8.71,83.69,baja,0,7,alto
214,Educación,4,14.12,78.97,media,2,7,medio
215,Educación,5,15.61,93.08,media,4,2,medio
216,Ingeniería,6,10.21,55.1,alta,4,6,bajo
217,Contabilidad,1,12.12,65.05,baja,3,6,medio
218,Ingeniería,4,13.8,74.76,alta,2,1,alto
219,Contabilidad,10,7.84,97.93,baja,0,1,medio
220,Educación,5,9.38,53.6,alta,4,1,bajo
221,Educación,7,16.98,66.85,baja,0,7,bajo
222,Educación,5,9.61,96.29,media,1,2,alto
223,Administración,1,11.1,94.9,baja,2,4,bajo
224,Contabilidad,7,10.49,93.26,baja,0,1,alto
225,Administración,8,7.01,65.42,alta,2,0,medio
226,Administración,7,12.21,92.34,baja,5,0,medio
227,Ingeniería,4,11.94,75.27,baja,4,1,medio
228,Administración,8,12.45,80.99,baja,1,1,alto
229,Ingeniería,5,11.79,61.94,baja,3,1,bajo
230,Ingeniería,10,10.85,85.33,media,1,6,alto
231,Administración,9,10.71,66.38,alta,2,0,medio
232,Contabilidad,10,10.75,67.19,baja,1,3,medio
233,Contabilidad,5,9.53,81.84,alta,4,4,medio
234,Contabilidad,1,9.92,61.99,media,2,3,medio
235,Contabilidad,9,9.57,61.22,media,2,0,medio
236,Contabilidad,5,13.43,68.46,baja,4,0,alto
237,Administración,6,12.77,88.9,alta,5,2,medio
238,Administración,4,12.07,61.23,alta,0,3,alto
239,Educación,6,16.86,89.37,alta,3,1,alto
240,Contabilidad,8,9.69,84.78,media,5,5,medio
241,Administración,3,14.8,83.95,media,5,6,medio
242,Educación,5,11.35,73.74,baja,1,1,medio
243,Contabilidad,2,12.39,87.29,alta,5,0,alto
244,Ingeniería,2,13.68,50.68,alta,3,2,bajo
245,Educación,7,10.81,65.28,media,3,3,alto
246,Administración,10,9.36,83.96,baja,5,2,medio
247,Ingeniería,10,9.77,99.36,baja,4,4,alto
248,Ingeniería,10,6.73,50.13,baja,0,2,bajo
249,Ingeniería,6,13.52,75.5,media,3,4,bajo
250,Educación,4,13.46,96.19,alta,2,6,bajo
251,Administración,5,15.96,93.18,baja,5,3,alto
252,Ingeniería,1,13.04,51.16,baja,0,7,bajo
253,Contabilidad,7,13.64,76.48,alta,4,1,bajo
254,Ingeniería,8,11.8,50.21,baja,5,4,alto
255,Ingeniería,9,13.16,89.48,media,3,1,medio
256,Educación,8,14.72,65.44,baja,5,6,bajo
257,Educación,5,12.45,88.28,alta,4,6,alto
258,Administración,3,10.7,97.24,media,1,2,bajo
259,Contabilidad,10,11.45,98.8,baja,4,2,alto
260,Educación,9,13.88,94.71,alta,2,7,medio
261,Ingeniería,6,10.77,60.21,alta,4,6,alto
262,Administración,5,14.22,59.73,alta,0,3,alto
263,Ingeniería,3,16.77,81.29,alta,1,1,bajo
264,Ingeniería,6,14.25,77.2,baja,5,3,alto
265,Educación,3,13.87,50.48,baja,5,7,medio
266,Administración,10,12.87,69.59,media,2,4,alto
267,Contabilidad,6,10.06,95.33,media,1,2,alto
268,Contabilidad,4,9.83,94.92,alta,2,2,alto
269,Educación,2,9.81,60.2,alta,5,2,medio
270,Educación,8,13.39,69.1,media,1,5,medio
271,Administración,4,11.03,78.02,baja,3,2,alto
272,Contabilidad,9,11.93,92.64,baja,4,6,alto
273,Contabilidad,7,13.05,76.6,baja,0,2,alto
274,Contabilidad,2,9.9,98.41,alta,0,4,bajo
275,Ingeniería,4,10.75,89.95,media,3,7,medio
276,Contabilidad,5,12.81,97.65,media,1,4,alto
277,Ingeniería,3,11.27,86.57,media,4,6,alto
278,Administración,9,11.51,93.88,baja,3,3,medio
279,Ingeniería,5,9.42,91.55,media,1,0,bajo
280,Administración,2,11.54,62.69,media,4,2,alto
281,Contabilidad,3,16.13,61.48,baja,1,2,medio
282,Contabilidad,9,10.88,93.22,alta,0,0,bajo
283,Administración,7,9.13,54.23,alta,4,7,medio
284,Educación,2,14.4,70.43,baja,0,3,medio
285,Administración,9,13.31,91.03,media,0,4,alto
286,Educación,4,12.53,90.66,alta,4,2,medio
287,Ingeniería,9,8.7,56.94,alta,3,3,alto
288,Ingeniería,2,9.06,74.39,alta,1,0,bajo
289,Ingeniería,10,8.16,73.99,baja,4,4,alto
290,Contabilidad,4,13.08,66.19,alta,5,4,medio
291,Ingeniería,5,14.55,95.86,media,0,3,medio
292,Educación,2,13.16,82.66,baja,1,1,medio
293,Ingeniería,10,16.87,99.01,baja,4,1,alto
294,Administración,1,10.9,53.34,alta,3,5,bajo
295,Administración,7,11.19,69.72,media,4,5,bajo
296,Contabilidad,10,12.27,91.76,baja,4,1,medio
297,Administración,1,11.43,71.13,alta,2,6,alto
298,Educación,8,13.25,63.09,media,5,0,medio
299,Ingeniería,3,10.4,99.89,media,1,1,alto
300,Contabilidad,10,8.51,93.66,baja,4,3,bajo
301,Ingeniería,6,7.53,77.32,alta,0,4,alto
302,Ingeniería,7,13.2,78.09,media,0,3,alto
303,Educación,10,10.69,50.34,baja,2,7,medio
304,Administración,1,9.08,99.05,baja,0,3,alto
305,Administración,6,10.45,90.31,baja,4,2,bajo
306,Ingeniería,7,16.88,51.84,baja,1,7,bajo
307,Contabilidad,6,9.22,58.82,baja,2,0,bajo
308,Administración,4,13.82,91.05,media,5,4,medio
309,Contabilidad,1,13.05,54.34,baja,2,2,alto
310,Administración,9,15.35,97.09,alta,3,6,alto
311,Contabilidad,4,11.69,99.99,alta,3,0,medio
312,Educación,7,8.1,94.32,media,1,4,bajo
313,Contabilidad,7,14.48,86.95,baja,1,7,bajo
314,Educación,2,11.38,74.36,baja,2,7,medio
315,Educación,1,15.19,54.12,media,4,2,medio
316,Contabilidad,8,14.04,86.52,baja,4,5,bajo
317,Educación,8,14.49,69.84,baja,3,7,bajo
318,Ingeniería,7,17.92,78.51,alta,1,7,alto
319,Educación,8,12.7,64.67,baja,1,1,bajo
320,Administración,3,15.61,62.11,media,4,3,bajo
321,Contabilidad,2,10.99,66.21,alta,3,5,alto
322,Ingeniería,7,13.35,90.69,media,4,1,medio
323,Contabilidad,8,10.74,71.32,media,4,4,alto
324,Administración,1,13.2,65.59,baja,2,5,alto
325,Administración,10,12.94,71.65,baja,1,5,bajo
326,Administración,9,6.85,51.61,alta,2,2,medio
327,Educación,4,10.47,94.53,media,2,2,bajo
328,Educación,4,12.58,77.59,media,4,2,medio
329,Contabilidad,3,6.36,55.24,baja,3,3,alto
330,Contabilidad,6,11.76,64.42,media,4,2,medio
331,Ingeniería,1,14.52,99.18,media,5,0,bajo
332,Ingeniería,6,15.25,79.65,media,3,0,medio
333,Contabilidad,2,10.04,64.57,media,1,0,medio
334,Educación,9,15.41,71.32,media,5,7,medio
335,Administración,2,15.02,62.92,alta,5,5,bajo
336,Contabilidad,7,6.63,51.59,media,5,1,alto
337,Ingeniería,1,12.29,92.1,media,0,4,alto
338,Educación,7,12.57,64.62,alta,1,1,medio
339,Contabilidad,5,15.8,91.92,baja,4,5,medio
340,Contabilidad,8,12.72,73.93,baja,3,1,medio
341,Educación,4,15.48,59.14,alta,5,3,alto
342,Contabilidad,10,10.05,90.09,alta,0,5,bajo
343,Educación,7,8.0,68.86,baja,5,1,medio
344,Administración,6,10.38,85.39,media,3,3,medio
345,Educación,5,15.94,91.86,media,3,6,medio
346,Educación,4,14.31,98.15,alta,0,0,alto
347,Educación,7,17.81,54.29,media,0,7,alto
348,Contabilidad,5,8.39,50.42,alta,1,7,bajo
349,Contabilidad,5,14.6,77.42,baja,2,0,medio
350,Educación,1,13.89,63.21,media,5,1,medio
351,Contabilidad,2,11.29,73.46,baja,0,1,alto
352,Ingeniería,5,13.94,53.63,media,5,7,alto
353,Ingeniería,3,12.35,75.08,media,2,6,medio
354,Contabilidad,2,13.15,56.24,media,2,0,medio
355,Contabilidad,4,13.7,91.93,alta,2,6,medio
356,Educación,4,14.45,87.97,baja,2,7,alto
357,Administración,4,12.22,53.7,alta,0,2,medio
358,Contabilidad,4,16.44,91.82,alta,5,7,bajo
359,Ingeniería,3,11.46,66.25,baja,3,0,alto
360,Educación,7,16.71,67.64,baja,5,6,bajo
361,Contabilidad,9,9.18,58.99,alta,5,2,bajo
362,Ingeniería,5,9.54,91.77,alta,0,0,alto
363,Ingeniería,4,9.68,70.24,alta,0,4,medio
364,Administración,2,14.39,52.44,baja,4,7,bajo
365,Educación,2,9.99,98.31,alta,4,7,medio
366,Educación,5,15.73,62.79,baja,1,7,bajo
367,Administración,7,10.68,96.81,alta,2,3,alto
368,Administración,10,13.0,65.06,baja,2,3,medio
369,Educación,10,13.6,91.57,alta,4,4,bajo
370,Educación,9,9.46,83.21,media,3,2,bajo
371,Contabilidad,7,8.52,93.06,media,1,1,alto
372,Contabilidad,5,12.71,98.81,baja,5,1,bajo
373,Administración,10,11.31,93.57,baja,3,3,alto
374,Contabilidad,10,13.25,70.18,media,4,1,bajo
375,Ingeniería,10,8.64,90.73,baja,5,2,medio
376,Contabilidad,6,11.11,85.58,baja,3,6,alto
377,Contabilidad,3,11.55,53.08,media,2,7,bajo
378,Ingeniería,5,5.91,96.49,alta,4,1,bajo
379,Administración,8,14.49,73.3,baja,5,0,medio
380,Ingeniería,1,10.11,56.72,baja,3,4,bajo
381,Contabilidad,1,15.75,71.27,alta,1,3,alto
382,Administración,7,10.27,80.16,alta,1,6,bajo
383,Contabilidad,5,10.7,78.65,baja,0,1,bajo
384,Ingeniería,5,8.9,78.74,baja,5,6,medio
385,Ingeniería,1,14.87,62.79,alta,4,7,medio
386,Contabilidad,9,13.14,81.64,baja,4,2,bajo
387,Educación,1,15.5,95.37,alta,5,1,medio
388,Educación,5,11.48,69.43,alta,4,6,bajo
389,Ingeniería,10,11.9,81.53,baja,2,7,bajo
390,Ingeniería,9,7.79,62.2,baja,2,4,alto
391,Educación,4,10.44,52.41,alta,4,0,bajo
392,Educación,8,12.43,79.29,baja,5,5,alto
393,Contabilidad,6,12.97,52.38,alta,3,3,alto
394,Contabilidad,3,16.56,86.18,media,2,3,bajo
395,Educación,4,7.37,83.52,media,5,2,medio
396,Contabilidad,2,12.57,68.47,alta,4,0,bajo
397,Contabilidad,1,11.06,70.56,alta,2,1,bajo
398,Administración,8,12.19,95.89,baja,5,1,medio
399,Contabilidad,1,12.26,50.66,alta,0,5,medio
400,Ingeniería,1,11.52,78.17,alta,1,6,alto
401,Contabilidad,4,9.17,96.17,baja,0,7,bajo
402,Contabilidad,10,8.7,95.7,baja,4,5,medio
403,Educación,10,11.34,79.23,media,5,6,medio
404,Ingeniería,6,8.45,69.06,alta,1,5,alto
405,Contabilidad,9,11.72,54.95,alta,3,2,bajo
406,Contabilidad,1,11.37,58.69,media,4,0,medio
407,Administración,7,5.87,83.98,alta,3,2,alto
408,Contabilidad,10,16.83,50.83,baja,3,7,alto
409,Contabilidad,5,12.19,94.17,alta,2,4,alto
410,Administración,8,5.91,79.4,baja,2,4,alto
411,Educación,7,12.62,52.26,alta,1,1,bajo
412,Contabilidad,4,11.49,61.99,media,1,4,bajo
413,Administración,4,8.71,79.71,baja,5,2,medio
414,Ingeniería,6,12.77,51.78,baja,2,3,medio
415,Educación,6,9.64,89.0,media,1,4,medio
416,Ingeniería,9,12.48,96.0,baja,5,7,medio
417,Ingeniería,5,10.25,98.06,media,0,6,medio
418,Administración,8,9.74,86.68,alta,4,2,alto
419,Contabilidad,5,11.96,92.84,media,0,3,bajo
420,Administración,2,7.94,80.54,alta,4,6,alto
421,Administración,6,11.79,72.93,baja,5,3,bajo
422,Administración,9,13.64,85.66,baja,2,5,alto
423,Administración,3,15.18,61.21,media,0,6,alto
424,Educación,1,14.72,55.49,alta,3,5,medio
425,Contabilidad,1,15.38,88.09,media,0,4,bajo
426,Ingeniería,3,10.86,97.91,baja,1,0,bajo
427,Ingeniería,10,9.44,78.87,baja,0,5,bajo
428,Contabilidad,5,14.04,74.13,alta,2,4,medio
429,Ingeniería,3,10.71,76.72,alta,2,4,medio
430,Contabilidad,9,12.02,73.92,baja,1,0,medio
431,Ingeniería,8,13.87,72.11,baja,4,4,medio
432,Administración,3,17.05,97.35,alta,1,2,alto
433,Ingeniería,9,13.32,73.99,media,5,0,bajo
434,Contabilidad,6,12.51,54.06,media,4,2,medio
435,Contabilidad,7,9.2,88.28,alta,2,3,medio
436,Contabilidad,4,14.92,69.58,alta,2,0,medio
437,Contabilidad,4,13.02,85.53,alta,5,3,medio
438,Contabilidad,2,11.13,78.98,baja,4,5,bajo
439,Educación,5,10.87,85.66,media,0,1,alto
440,Educación,8,10.98,53.1,alta,0,6,alto
441,Ingeniería,7,12.11,51.69,media,1,1,medio
442,Contabilidad,7,8.35,68.93,baja,2,2,alto
443,Ingeniería,6,15.05,84.66,baja,0,3,medio
444,Contabilidad,3,14.59,61.18,alta,2,3,medio
445,Contabilidad,5,11.58,71.67,alta,1,0,bajo
446,Educación,1,10.99,99.04,alta,3,7,alto
447,Educación,7,11.94,60.74,alta,2,1,alto
448,Administración,9,12.37,92.4,media,3,2,medio
449,Educación,1,11.25,91.27,alta,2,2,bajo
450,Administración,2,14.5,94.57,media,4,0,medio
451,Administración,3,8.44,95.76,baja,5,0,bajo
452,Administración,3,10.22,75.37,baja,3,5,alto
453,Administración,8,13.94,84.1,media,4,2,bajo
454,Administración,7,12.81,80.94,media,5,0,alto
455,Ingeniería,6,10.3,65.45,alta,4,7,alto
456,Educación,10,13.0,63.99,alta,1,5,alto
457,Administración,10,10.02,67.08,alta,1,3,medio
458,Contabilidad,4,11.22,60.92,baja,0,2,medio
459,Educación,9,14.61,87.87,media,3,4,bajo
460,Educación,1,14.33,98.23,media,0,1,medio
461,Administración,2,12.72,93.39,media,3,1,medio
462,Ingeniería,4,9.37,60.9,media,1,4,bajo
463,Administración,3,11.06,52.6,alta,1,4,alto
464,Ingeniería,1,12.24,87.85,alta,5,6,bajo
465,Contabilidad,5,15.64,69.51,media,5,7,medio
466,Educación,7,7.54,91.23,alta,1,3,alto
467,Contabilidad,2,9.82,88.96,baja,3,7,bajo
468,Ingeniería,5,14.82,81.27,alta,1,2,alto
469,Ingeniería,6,15.4,62.77,baja,0,0,medio
470,Contabilidad,7,11.83,55.2,baja,4,1,medio
471,Ingeniería,1,15.85,62.63,media,5,7,bajo
472,Contabilidad,7,10.17,75.49,media,3,4,alto
473,Educación,4,8.23,98.97,alta,4,7,medio
474,Contabilidad,8,13.98,53.18,media,0,6,alto
475,Educación,4,15.24,60.0,baja,2,2,bajo
476,Contabilidad,6,15.2,81.36,baja,5,0,bajo
477,Ingeniería,9,9.84,65.22,alta,1,6,bajo
478,Contabilidad,5,12.5,92.93,baja,5,1,medio
479,Ingeniería,4,14.1,56.97,media,5,2,medio
480,Contabilidad,8,12.75,98.16,alta,5,1,medio
481,Contabilidad,9,15.62,95.62,alta,0,3,medio
482,Administración,4,10.99,94.38,alta,2,6,bajo
483,Ingeniería,3,11.82,58.65,media,3,1,medio
484,Administración,8,12.59,66.47,baja,0,7,medio
485,Ingeniería,5,14.08,90.2,media,3,3,medio
486,Administración,2,11.51,90.39,alta,4,3,bajo
487,Educación,10,14.32,85.26,baja,4,3,bajo
488,Contabilidad,9,16.01,72.4,alta,3,0,medio
489,Ingeniería,3,10.7,65.58,media,4,5,alto
490,Ingeniería,2,11.59,98.15,alta,4,0,alto
491,Contabilidad,1,14.42,56.96,media,1,3,medio
492,Ingeniería,8,16.82,52.19,alta,3,2,medio
493,Ingeniería,3,13.59,50.46,alta,3,5,medio
494,Administración,7,10.03,88.75,alta,2,5,bajo
495,Ingeniería,1,12.5,52.84,media,5,3,alto
496,Educación,1,14.4,76.93,media,1,6,bajo
497,Educación,9,9.97,68.36,media,0,2,alto
498,Contabilidad,8,9.3,57.35,media,1,1,bajo
499,Ingeniería,3,11.14,87.03,media,0,0,bajo
500,Contabilidad,6,13.65,52.75,baja,3,2,medio
501,Educación,3,8.58,65.92,alta,1,5,medio
502,Ingeniería,4,10.27,78.11,media,2,2,medio
503,Ingeniería,1,12.68,70.12,baja,5,7,bajo
